NAICS_ID,ID_GROUP,Business Description,Date,Sales,Status
4532,453,"Office supplies, stationery, and gift stores",2020/02/01,1953.0,Estimated
45321,453,Office supplies and stationery stores,2020/02/01,816.0,Estimated
45322,453,"Gift, novelty, and souvenir stores",2020/02/01,1137.0,Estimated
45330,453,Used merchandise stores,2020/02/01,1551.0,Estimated
454,454,Nonstore retailers,2020/02/01,58864.0,Estimated
4541,454,Electronic shopping and mail-order houses,2020/02/01,50716.0,Estimated
45431,454,Fuel dealers,2020/02/01,3565.0,Estimated
722,722,Food services and drinking places,2020/02/01,62956.0,Estimated
7224,722,Drinking places,2020/02/01,0.0,Suppressed
7225,722,Restaurants and other eating places,2020/02/01,54911.0,Estimated
722511,722,Full service restaurants,2020/02/01,0.0,Suppressed
722513-722514-722515,722,Limited service eating places,2020/02/01,27062.0,Estimated
441,441,Motor vehicle and parts dealers,2020/03/01,82387.0,Estimated
4411-4412,441,Automobile and other motor vehicle dealers,2020/03/01,74904.0,Estimated
4411,441,Automobile dealers,2020/03/01,68937.0,Estimated
44111,441,New car dealers,2020/03/01,59487.0,Estimated
44112,441,Used car dealers,2020/03/01,9450.0,Estimated
4413,441,"Automotive parts, acc., and tire stores",2020/03/01,7483.0,Estimated
442-443,442,"Furniture, home furn, electronics, and appliance stores",2020/03/01,13975.0,Estimated
442,442,Furniture and home furnishings stores,2020/03/01,8159.0,Estimated
4421,442,Furniture stores,2020/03/01,4499.0,Estimated
4422,442,Home furnishings stores,2020/03/01,3660.0,Estimated
44221,442,Floor covering stores,2020/03/01,0.0,Suppressed
442299,442,All other home furnishings stores,2020/03/01,1525.0,Estimated
443,443,Electronics and appliance stores,2020/03/01,5816.0,Estimated
443141,443,Household appliance stores,2020/03/01,1283.0,Estimated
443142,443,Electronics stores,2020/03/01,4533.0,Estimated
444,444,Building mat. and garden equip. and supplies dealers,2020/03/01,32152.0,Estimated
4441,444,Building mat. and supplies dealers,2020/03/01,27984.0,Estimated
44412,444,Paint and wallpaper stores,2020/03/01,1085.0,Estimated
44413,444,Hardware stores,2020/03/01,2372.0,Estimated
445,445,Food and beverage stores,2020/03/01,80990.0,Estimated
4451,445,Grocery stores,2020/03/01,73901.0,Estimated
44511,445,Supermarkets and other grocery (except convenience) stores,2020/03/01,71296.0,Estimated
4453,445,"Beer, wine, and liquor stores",2020/03/01,5249.0,Estimated
446,446,Health and personal care stores,2020/03/01,30888.0,Estimated
44611,446,Pharmacies and drug stores,2020/03/01,26974.0,Estimated
447,447,Gasoline stations,2020/03/01,34261.0,Estimated
448,448,Clothing and clothing access. stores,2020/03/01,10969.0,Estimated
4481,448,Clothing stores,2020/03/01,7584.0,Estimated
44811,448,Men's clothing stores,2020/03/01,302.0,Estimated
44812,448,Women's clothing stores,2020/03/01,1493.0,Estimated
44814,448,Family clothing stores,2020/03/01,4259.0,Estimated
44819,448,Other clothing stores,2020/03/01,788.0,Estimated
4482,448,Shoe stores,2020/03/01,1686.0,Estimated
44831,448,Jewelry stores,2020/03/01,1505.0,Estimated
451,451,"Sporting goods, hobby, musical instrument, and book stores",2020/03/01,5287.0,Estimated
45111,451,Sporting goods stores,2020/03/01,3452.0,Estimated
45112,451,"Hobby, toy, and game stores",2020/03/01,862.0,Estimated
451211,451,Book stores,2020/03/01,406.0,Estimated
452,452,General merchandise stores,2020/03/01,63624.0,Estimated
4521,452,Department stores,2020/03/01,8158.0,Estimated
452111,452,Department stores(excl. discount department stores),2020/03/01,1305.0,Estimated
452112,452,Discount dept. stores,2020/03/01,6853.0,Estimated
4529,452,Other general merchandise stores,2020/03/01,55466.0,Estimated
45291,452,Warehouse clubs and superstores,2020/03/01,47739.0,Estimated
45299,452,All other gen. merchandise stores,2020/03/01,7727.0,Estimated
453,453,Miscellaneous store retailers,2020/03/01,9580.0,Estimated
4532,453,"Office supplies, stationery, and gift stores",2020/03/01,1646.0,Estimated
45321,453,Office supplies and stationery stores,2020/03/01,868.0,Estimated
45322,453,"Gift, novelty, and souvenir stores",2020/03/01,778.0,Estimated
45330,453,Used merchandise stores,2020/03/01,1028.0,Estimated
454,454,Nonstore retailers,2020/03/01,66414.0,Estimated
4541,454,Electronic shopping and mail-order houses,2020/03/01,58622.0,Estimated
45431,454,Fuel dealers,2020/03/01,3016.0,Estimated
722,722,Food services and drinking places,2020/03/01,47740.0,Estimated
7224,722,Drinking places,2020/03/01,0.0,Suppressed
7225,722,Restaurants and other eating places,2020/03/01,42238.0,Estimated
722511,722,Full service restaurants,2020/03/01,0.0,Suppressed
722513-722514-722515,722,Limited service eating places,2020/03/01,24159.0,Estimated
441,441,Motor vehicle and parts dealers,2020/04/01,69534.0,Estimated
4411-4412,441,Automobile and other motor vehicle dealers,2020/04/01,62554.0,Estimated
4411,441,Automobile dealers,2020/04/01,56635.0,Estimated
44111,441,New car dealers,2020/04/01,50131.0,Estimated
44112,441,Used car dealers,2020/04/01,6504.0,Estimated
4413,441,"Automotive parts, acc., and tire stores",2020/04/01,6980.0,Estimated
442-443,442,"Furniture, home furn, electronics, and appliance stores",2020/04/01,7017.0,Estimated
442,442,Furniture and home furnishings stores,2020/04/01,3977.0,Estimated
4421,442,Furniture stores,2020/04/01,2004.0,Estimated
4422,442,Home furnishings stores,2020/04/01,1973.0,Estimated
44221,442,Floor covering stores,2020/04/01,0.0,Suppressed
442299,442,All other home furnishings stores,2020/04/01,403.0,Estimated
443,443,Electronics and appliance stores,2020/04/01,3040.0,Estimated
443141,443,Household appliance stores,2020/04/01,1128.0,Estimated
443142,443,Electronics stores,2020/04/01,1912.0,Estimated
444,444,Building mat. and garden equip. and supplies dealers,2020/04/01,35916.0,Estimated
4441,444,Building mat. and supplies dealers,2020/04/01,30023.0,Estimated
44412,444,Paint and wallpaper stores,2020/04/01,947.0,Estimated
44413,444,Hardware stores,2020/04/01,2839.0,Estimated
445,445,Food and beverage stores,2020/04/01,71064.0,Estimated
4451,445,Grocery stores,2020/04/01,64383.0,Estimated
44511,445,Supermarkets and other grocery (except convenience) stores,2020/04/01,62127.0,Estimated
4453,445,"Beer, wine, and liquor stores",2020/04/01,4938.0,Estimated
446,446,Health and personal care stores,2020/04/01,25724.0,Estimated
44611,446,Pharmacies and drug stores,2020/04/01,23910.0,Estimated
447,447,Gasoline stations,2020/04/01,26810.0,Estimated
448,448,Clothing and clothing access. stores,2020/04/01,2744.0,Estimated
4481,448,Clothing stores,2020/04/01,1736.0,Estimated
44811,448,Men's clothing stores,2020/04/01,86.0,Estimated
44812,448,Women's clothing stores,2020/04/01,469.0,Estimated
44814,448,Family clothing stores,2020/04/01,688.0,Estimated
44819,448,Other clothing stores,2020/04/01,248.0,Estimated
4482,448,Shoe stores,2020/04/01,462.0,Estimated
44831,448,Jewelry stores,2020/04/01,511.0,Estimated
451,451,"Sporting goods, hobby, musical instrument, and book stores",2020/04/01,3484.0,Estimated
45111,451,Sporting goods stores,2020/04/01,2599.0,Estimated
45112,451,"Hobby, toy, and game stores",2020/04/01,360.0,Estimated
451211,451,Book stores,2020/04/01,169.0,Estimated
452,452,General merchandise stores,2020/04/01,54576.0,Estimated
4521,452,Department stores,2020/04/01,5941.0,Estimated
452111,452,Department stores(excl. discount department stores),2020/04/01,11.0,Estimated
452112,452,Discount dept. stores,2020/04/01,5930.0,Estimated
4529,452,Other general merchandise stores,2020/04/01,48635.0,Estimated
45291,452,Warehouse clubs and superstores,2020/04/01,41322.0,Estimated
45299,452,All other gen. merchandise stores,2020/04/01,7313.0,Estimated
453,453,Miscellaneous store retailers,2020/04/01,7319.0,Estimated
4532,453,"Office supplies, stationery, and gift stores",2020/04/01,816.0,Estimated
45321,453,Office supplies and stationery stores,2020/04/01,605.0,Estimated
45322,453,"Gift, novelty, and souvenir stores",2020/04/01,211.0,Estimated
45330,453,Used merchandise stores,2020/04/01,420.0,Estimated
454,454,Nonstore retailers,2020/04/01,73022.0,Estimated
4541,454,Electronic shopping and mail-order houses,2020/04/01,67339.0,Estimated
45431,454,Fuel dealers,2020/04/01,2069.0,Estimated
722,722,Food services and drinking places,2020/04/01,30017.0,Estimated
7224,722,Drinking places,2020/04/01,0.0,Suppressed
7225,722,Restaurants and other eating places,2020/04/01,27674.0,Estimated
722511,722,Full service restaurants,2020/04/01,0.0,Suppressed
722513-722514-722515,722,Limited service eating places,2020/04/01,20001.0,Estimated
441,441,Motor vehicle and parts dealers,2020/05/01,107362.0,Estimated
4411-4412,441,Automobile and other motor vehicle dealers,2020/05/01,98852.0,Estimated
4411,441,Automobile dealers,2020/05/01,88480.0,Estimated
44111,441,New car dealers,2020/05/01,77773.0,Estimated
44112,441,Used car dealers,2020/05/01,10707.0,Estimated
4413,441,"Automotive parts, acc., and tire stores",2020/05/01,8510.0,Estimated
442-443,442,"Furniture, home furn, electronics, and appliance stores",2020/05/01,11301.0,Estimated
442,442,Furniture and home furnishings stores,2020/05/01,7349.0,Estimated
4421,442,Furniture stores,2020/05/01,4259.0,Estimated
4422,442,Home furnishings stores,2020/05/01,3090.0,Estimated
44221,442,Floor covering stores,2020/05/01,0.0,Suppressed
442299,442,All other home furnishings stores,2020/05/01,1276.0,Estimated
443,443,Electronics and appliance stores,2020/05/01,3952.0,Estimated
443141,443,Household appliance stores,2020/05/01,1441.0,Estimated
443142,443,Electronics stores,2020/05/01,2511.0,Estimated
444,444,Building mat. and garden equip. and supplies dealers,2020/05/01,42422.0,Estimated
4441,444,Building mat. and supplies dealers,2020/05/01,35986.0,Estimated
44412,444,Paint and wallpaper stores,2020/05/01,1092.0,Estimated
44413,444,Hardware stores,2020/05/01,3495.0,Estimated
445,445,Food and beverage stores,2020/05/01,76438.0,Estimated
4451,445,Grocery stores,2020/05/01,68436.0,Estimated
44511,445,Supermarkets and other grocery (except convenience) stores,2020/05/01,65735.0,Estimated
4453,445,"Beer, wine, and liquor stores",2020/05/01,5950.0,Estimated
446,446,Health and personal care stores,2020/05/01,26251.0,Estimated
44611,446,Pharmacies and drug stores,2020/05/01,23648.0,Estimated
447,447,Gasoline stations,2020/05/01,32045.0,Estimated
448,448,Clothing and clothing access. stores,2020/05/01,8787.0,Estimated
4481,448,Clothing stores,2020/05/01,5504.0,Estimated
44811,448,Men's clothing stores,2020/05/01,155.0,Estimated
44812,448,Women's clothing stores,2020/05/01,1099.0,Estimated
44814,448,Family clothing stores,2020/05/01,3089.0,Estimated
44819,448,Other clothing stores,2020/05/01,569.0,Estimated
4482,448,Shoe stores,2020/05/01,1624.0,Estimated
44831,448,Jewelry stores,2020/05/01,1557.0,Estimated
451,451,"Sporting goods, hobby, musical instrument, and book stores",2020/05/01,6353.0,Estimated
45111,451,Sporting goods stores,2020/05/01,4378.0,Estimated
45112,451,"Hobby, toy, and game stores",2020/05/01,1120.0,Estimated
451211,451,Book stores,2020/05/01,275.0,Estimated
452,452,General merchandise stores,2020/05/01,63381.0,Estimated
4521,452,Department stores,2020/05/01,8768.0,Estimated
452111,452,Department stores(excl. discount department stores),2020/05/01,1049.0,Estimated
452112,452,Discount dept. stores,2020/05/01,7719.0,Estimated
4529,452,Other general merchandise stores,2020/05/01,54613.0,Estimated
45291,452,Warehouse clubs and superstores,2020/05/01,46287.0,Estimated
45299,452,All other gen. merchandise stores,2020/05/01,8326.0,Estimated
453,453,Miscellaneous store retailers,2020/05/01,9812.0,Estimated
4532,453,"Office supplies, stationery, and gift stores",2020/05/01,1220.0,Estimated
45321,453,Office supplies and stationery stores,2020/05/01,707.0,Estimated
45322,453,"Gift, novelty, and souvenir stores",2020/05/01,513.0,Estimated
45330,453,Used merchandise stores,2020/05/01,882.0,Estimated
454,454,Nonstore retailers,2020/05/01,78134.0,Estimated
4541,454,Electronic shopping and mail-order houses,2020/05/01,72558.0,Estimated
45431,454,Fuel dealers,2020/05/01,1741.0,Estimated
722,722,Food services and drinking places,2020/05/01,42321.0,Estimated
7224,722,Drinking places,2020/05/01,0.0,Suppressed
7225,722,Restaurants and other eating places,2020/05/01,39803.0,Estimated
722511,722,Full service restaurants,2020/05/01,0.0,Suppressed
722513-722514-722515,722,Limited service eating places,2020/05/01,26498.0,Estimated
441,441,Motor vehicle and parts dealers,2020/06/01,114228.0,Estimated
4411-4412,441,Automobile and other motor vehicle dealers,2020/06/01,104941.0,Estimated
4411,441,Automobile dealers,2020/06/01,93559.0,Estimated
44111,441,New car dealers,2020/06/01,81593.0,Estimated
44112,441,Used car dealers,2020/06/01,11966.0,Estimated
4413,441,"Automotive parts, acc., and tire stores",2020/06/01,9287.0,Estimated
442-443,442,"Furniture, home furn, electronics, and appliance stores",2020/06/01,15601.0,Estimated
442,442,Furniture and home furnishings stores,2020/06/01,9993.0,Estimated
4421,442,Furniture stores,2020/06/01,5730.0,Estimated
4422,442,Home furnishings stores,2020/06/01,4263.0,Estimated
44221,442,Floor covering stores,2020/06/01,0.0,Suppressed
442299,442,All other home furnishings stores,2020/06/01,2102.0,Estimated
443,443,Electronics and appliance stores,2020/06/01,5608.0,Estimated
443141,443,Household appliance stores,2020/06/01,1681.0,Estimated
443142,443,Electronics stores,2020/06/01,3927.0,Estimated
444,444,Building mat. and garden equip. and supplies dealers,2020/06/01,42092.0,Estimated
4441,444,Building mat. and supplies dealers,2020/06/01,36397.0,Estimated
44412,444,Paint and wallpaper stores,2020/06/01,1240.0,Estimated
44413,444,Hardware stores,2020/06/01,3350.0,Estimated
